date,CSI300,STAR50,CGB
2020-01-09,4.158,,119.574
2020-01-10,4.157,,119.696
2020-01-13,4.202,,119.699
2020-01-14,4.184,,119.789
2020-01-15,4.152,,119.84
2020-01-16,4.146,,119.648
2020-01-17,4.151,,119.76
2020-01-20,4.181,,119.814
2020-01-21,4.105,,120.38
2020-01-22,4.119,,120.101
2020-01-23,3.996,,120.799
2020-02-03,3.659,,122.597
2020-02-04,3.77,,121.336
2020-02-05,3.807,,121.525
2020-02-06,3.897,,121.175
2020-02-07,3.888,,121.366
2020-02-10,3.901,,121.569
2020-02-11,3.943,,121.642
2020-02-12,3.971,,121.522
2020-02-13,3.95,,121.347
2020-02-14,3.977,,121.343
2020-02-17,4.064,,121.166
2020-02-18,4.039,,121.143
2020-02-19,4.04,,121.169
2020-02-20,4.131,,121.024
2020-02-21,4.145,,121.143
2020-02-24,4.112,,121.37
2020-02-25,4.104,,121.301
2020-02-26,4.07,,121.315
2020-02-27,4.071,,121.438
2020-02-28,3.933,,121.964
2020-03-02,4.076,,121.749
2020-03-03,4.073,,121.771
2020-03-04,4.102,,121.95
2020-03-05,4.2,,121.976
2020-03-06,4.121,,122.14
2020-03-09,3.99,,122.973
2020-03-10,4.078,,122.604
2020-03-11,4.011,,122.603
2020-03-12,3.948,,122.701
2020-03-13,3.889,,122.212
2020-03-16,3.726,,122.067
2020-03-17,3.693,,121.791
2020-03-18,3.631,,121.791
2020-03-19,3.596,,121.479
2020-03-20,3.644,,121.701
2020-03-23,3.526,,122.297
2020-03-24,3.611,,122.312
2020-03-25,3.706,,122.331
2020-03-26,3.683,,122.597
2020-03-27,3.7,,122.8
2020-03-30,3.666,,122.958
2020-03-31,3.669,,123.193
2020-04-01,3.673,,123.425
2020-04-02,3.723,,123.271
2020-04-03,3.697,,123.213
2020-04-07,3.78,,123.862
2020-04-08,3.765,,124.385
2020-04-09,3.776,,124.525
2020-04-10,3.764,,124.284
2020-04-13,3.743,,124.458
2020-04-14,3.805,,124.498
2020-04-15,3.783,,125.087
2020-04-16,3.785,,124.963
2020-04-17,3.819,,124.884
2020-04-20,3.835,,124.875
2020-04-21,3.795,,124.939
2020-04-22,3.829,,125.393
2020-04-23,3.822,,125.788
2020-04-24,3.79,,125.864
2020-04-27,3.807,,125.896
2020-04-28,3.831,,126.029
2020-04-29,3.851,,126.398
