date,CGB
2019-09-05,118.16
2019-09-06,118.541
2019-09-09,118.431
2019-09-10,118.382
2019-09-11,118.321
2019-09-12,118.199
2019-09-16,118.184
2019-09-17,118.232
2019-09-18,118.186
2019-09-19,118.21
2019-09-20,118.268
2019-09-23,118.329
2019-09-24,118.28
2019-09-25,118.282
2019-09-26,118.254
2019-09-27,118.161
2019-09-30,118.399
2019-10-08,118.351
2019-10-09,118.464
2019-10-10,118.369
2019-10-11,118.304
2019-10-14,118.261
2019-10-15,118.291
2019-10-16,118.28
2019-10-17,118.331
2019-10-18,118.256
2019-10-21,118.018
2019-10-22,118.111
2019-10-23,118.151
2019-10-24,118.167
2019-10-25,118.215
2019-10-28,118.027
2019-10-29,117.96
2019-10-30,117.912
2019-10-31,117.96
2019-11-01,118.021
2019-11-04,117.956
2019-11-05,118.06
2019-11-06,118.211
2019-11-07,118.131
2019-11-08,118.079
2019-11-11,118.229
2019-11-12,118.27
2019-11-13,118.283
2019-11-14,118.223
2019-11-15,118.321
2019-11-18,118.638
2019-11-19,118.695
2019-11-20,118.631
2019-11-21,118.703
2019-11-22,118.673
2019-11-25,118.57
2019-11-26,118.56
2019-11-27,118.599
2019-11-28,118.596
2019-11-29,118.775
2019-12-02,118.934
2019-12-03,119.02
2019-12-04,119.001
2019-12-05,118.981
2019-12-06,118.96
2019-12-09,118.789
2019-12-10,118.719
2019-12-11,118.756
2019-12-12,118.758
2019-12-13,118.761
2019-12-16,118.746
2019-12-17,118.69
2019-12-18,118.722
2019-12-19,118.752
2019-12-20,118.882
2019-12-23,119.026
2019-12-24,119.356
2019-12-25,119.32
2019-12-26,119.469
2019-12-27,119.697
2019-12-30,119.637
2019-12-31,119.851
2020-01-02,119.377
2020-01-03,119.266
2020-01-06,119.391
2020-01-07,119.336
2020-01-08,119.469
2020-01-09,119.574
2020-01-10,119.696
2020-01-13,119.699
2020-01-14,119.789
2020-01-15,119.84
2020-01-16,119.648
2020-01-17,119.76
2020-01-20,119.814
2020-01-21,120.38
2020-01-22,120.101
2020-01-23,120.799
2020-02-03,122.597
2020-02-04,121.336
2020-02-05,121.525
2020-02-06,121.175
2020-02-07,121.366
2020-02-10,121.569
2020-02-11,121.642
2020-02-12,121.522
2020-02-13,121.347
2020-02-14,121.343
2020-02-17,121.166
2020-02-18,121.143
2020-02-19,121.169
2020-02-20,121.024
2020-02-21,121.143
2020-02-24,121.37
2020-02-25,121.301
2020-02-26,121.315
2020-02-27,121.438
2020-02-28,121.964
2020-03-02,121.749
2020-03-03,121.771
2020-03-04,121.95
2020-03-05,121.976
2020-03-06,122.14
2020-03-09,122.973
2020-03-10,122.604
2020-03-11,122.603
2020-03-12,122.701
2020-03-13,122.212
2020-03-16,122.067
2020-03-17,121.791
2020-03-18,121.791
2020-03-19,121.479
2020-03-20,121.701
2020-03-23,122.297
2020-03-24,122.312
