date,CGB,CSI300,STAR50
2020-01-15,119.84,4.152,
2020-01-16,119.648,4.146,
2020-01-17,119.76,4.151,
2020-01-20,119.814,4.181,
2020-01-21,120.38,4.105,
2020-01-22,120.101,4.119,
2020-01-23,120.799,3.996,
2020-02-03,122.597,3.659,
2020-02-04,121.336,3.77,
2020-02-05,121.525,3.807,
2020-02-06,121.175,3.897,
2020-02-07,121.366,3.888,
2020-02-10,121.569,3.901,
2020-02-11,121.642,3.943,
2020-02-12,121.522,3.971,
2020-02-13,121.347,3.95,
2020-02-14,121.343,3.977,
2020-02-17,121.166,4.064,
2020-02-18,121.143,4.039,
2020-02-19,121.169,4.04,
2020-02-20,121.024,4.131,
2020-02-21,121.143,4.145,
2020-02-24,121.37,4.112,
2020-02-25,121.301,4.104,
2020-02-26,121.315,4.07,
2020-02-27,121.438,4.071,
2020-02-28,121.964,3.933,
2020-03-02,121.749,4.076,
2020-03-03,121.771,4.073,
2020-03-04,121.95,4.102,
2020-03-05,121.976,4.2,
2020-03-06,122.14,4.121,
2020-03-09,122.973,3.99,
2020-03-10,122.604,4.078,
2020-03-11,122.603,4.011,
2020-03-12,122.701,3.948,
2020-03-13,122.212,3.889,
2020-03-16,122.067,3.726,
2020-03-17,121.791,3.693,
2020-03-18,121.791,3.631,
2020-03-19,121.479,3.596,
2020-03-20,121.701,3.644,
2020-03-23,122.297,3.526,
2020-03-24,122.312,3.611,
2020-03-25,122.331,3.706,
2020-03-26,122.597,3.683,
2020-03-27,122.8,3.7,
2020-03-30,122.958,3.666,
2020-03-31,123.193,3.669,
2020-04-01,123.425,3.673,
2020-04-02,123.271,3.723,
2020-04-03,123.213,3.697,
2020-04-07,123.862,3.78,
2020-04-08,124.385,3.765,
2020-04-09,124.525,3.776,
2020-04-10,124.284,3.764,
2020-04-13,124.458,3.743,
2020-04-14,124.498,3.805,
2020-04-15,125.087,3.783,
2020-04-16,124.963,3.785,
2020-04-17,124.884,3.819,
2020-04-20,124.875,3.835,
2020-04-21,124.939,3.795,
2020-04-22,125.393,3.829,
2020-04-23,125.788,3.822,
2020-04-24,125.864,3.79,
2020-04-27,125.896,3.807,
2020-04-28,126.029,3.831,
2020-04-29,126.398,3.851,
2020-04-30,126.435,3.908,
2020-05-06,126.176,3.918,
2020-05-07,125.447,3.911,
2020-05-08,125.285,3.953,
2020-05-11,125.013,3.946,
2020-05-12,125.188,3.945,
2020-05-13,125.12,3.954,
2020-05-14,125.324,3.921,
2020-05-15,125.536,3.902,
2020-05-18,125.102,3.914,
2020-05-19,124.91,3.943,
2020-05-20,124.508,3.927,
2020-05-21,124.534,3.901,
2020-05-22,125.08,3.815,
2020-05-25,124.758,3.817,
2020-05-26,124.079,3.863,
2020-05-27,123.787,3.845,
2020-05-28,124.028,3.85,
2020-05-29,123.892,3.866,
2020-06-01,123.721,3.968,
2020-06-02,123.138,3.979,
2020-06-03,122.826,3.978,
2020-06-04,122.701,3.98,
2020-06-05,122.568,4.003,
2020-06-08,122.889,4.022,
2020-06-09,122.959,4.049,
2020-06-10,122.651,4.04,
2020-06-11,122.826,4.003,
2020-06-12,123.011,4.013,
2020-06-15,123.149,3.956,
2020-06-16,122.472,4.018,
2020-06-17,122.01,4.022,
2020-06-18,121.971,4.053,
2020-06-19,121.8,4.105,
2020-06-22,121.942,4.109,
2020-06-23,121.401,4.128,
2020-06-24,121.898,4.164,
2020-06-29,122.145,4.128,
2020-06-30,121.996,4.178,
2020-07-01,122.158,4.272,
2020-07-02,122.294,4.37,
2020-07-03,122.145,4.457,
2020-07-06,121.416,4.784,
2020-07-07,121.098,4.736,
